,iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
8726,ARG,South America,Argentina,2020-01-01,45510324.0,,,,,,,,,,,,,,,,,,,,,
8727,ARG,South America,Argentina,2020-01-02,45510324.0,,,,,,,,,,,,,,,,,,,,,
8728,ARG,South America,Argentina,2020-01-03,45510324.0,,,,,,,,,,,,,,,,,,,,,
8729,ARG,South America,Argentina,2020-01-04,45510324.0,,,,,,,,,,,,,,,,,,,,,
8730,ARG,South America,Argentina,2020-01-05,45510324.0,,,,,,,,,,,,,,,,,,,,,
8731,ARG,South America,Argentina,2020-01-06,45510324.0,,,,,,,,,,,,,,,,,,,,,
8732,ARG,South America,Argentina,2020-01-07,45510324.0,,,,,,,,,,,,,,,,,,,,,
8733,ARG,South America,Argentina,2020-01-08,45510324.0,,,,,,,,,,,,,,,,,,,,,
8734,ARG,South America,Argentina,2020-01-09,45510324.0,,,,,,,,,,,,,,,,,,,,,
8735,ARG,South America,Argentina,2020-01-10,45510324.0,,,,,,,,,,,,,,,,,,,,,
8736,ARG,South America,Argentina,2020-01-11,45510324.0,,,,,,,,,,,,,,,,,,,,,
8737,ARG,South America,Argentina,2020-01-12,45510324.0,,,,,,,,,,,,,,,,,,,,,
8738,ARG,South America,Argentina,2020-01-13,45510324.0,,,,,,,,,,,,,,,,,,,,,
8739,ARG,South America,Argentina,2020-01-14,45510324.0,,,,,,,,,,,,,,,,,,,,,
8740,ARG,South America,Argentina,2020-01-15,45510324.0,,,,,,,,,,,,,,,,,,,,,
8741,ARG,South America,Argentina,2020-01-16,45510324.0,,,,,,,,,,,,,,,,,,,,,
8742,ARG,South America,Argentina,2020-01-17,45510324.0,,,,,,,,,,,,,,,,,,,,,
8743,ARG,South America,Argentina,2020-01-18,45510324.0,,,,,,,,,,,,,,,,,,,,,
8744,ARG,South America,Argentina,2020-01-19,45510324.0,,,,,,,,,,,,,,,,,,,,,
8745,ARG,South America,Argentina,2020-01-20,45510324.0,,,,,,,,,,,,,,,,,,,,,
8746,ARG,South America,Argentina,2020-01-21,45510324.0,,,,,,,,,,,,,,,,,,,,,
8747,ARG,South America,Argentina,2020-01-22,45510324.0,,,,,,,,,,,,,,,,,,,,,
8748,ARG,South America,Argentina,2020-01-23,45510324.0,,,,,,,,,,,,,,,,,,,,,
8749,ARG,South America,Argentina,2020-01-24,45510324.0,,,,,,,,,,,,,,,,,,,,,
8750,ARG,South America,Argentina,2020-01-25,45510324.0,,,,,,,,,,,,,,,,,,,,,
8751,ARG,South America,Argentina,2020-01-26,45510324.0,,,,,,,,,,,,,,,,,,,,,
8752,ARG,South America,Argentina,2020-01-27,45510324.0,,,,,,,,,,,,,,,,,,,,,
8753,ARG,South America,Argentina,2020-01-28,45510324.0,,,,,,,,,,,,,,,,,,,,,
8754,ARG,South America,Argentina,2020-01-29,45510324.0,,,,,,,,,,,,,,,,,,,,,
8755,ARG,South America,Argentina,2020-01-30,45510324.0,,,,,,,,,,,,,,,,,,,,,
8756,ARG,South America,Argentina,2020-01-31,45510324.0,,,,,,,,,,,,,,,,,,,,,
8757,ARG,South America,Argentina,2020-02-01,45510324.0,,,,,,,,,,,,,,,,,,,,,
8758,ARG,South America,Argentina,2020-02-02,45510324.0,,,,,,,,,,,,,,,,,,,,,
8759,ARG,South America,Argentina,2020-02-03,45510324.0,,,,,,,,,,,,,,,,,,,,,
8760,ARG,South America,Argentina,2020-02-04,45510324.0,,,,,,,,,,,,,,,,,,,,,
8761,ARG,South America,Argentina,2020-02-05,45510324.0,,,,,,,,,,,,,,,,,,,,,
8762,ARG,South America,Argentina,2020-02-06,45510324.0,,,,,,,,,,,,,,,,,,,,,
8763,ARG,South America,Argentina,2020-02-07,45510324.0,,,,,,,,,,,,,,,,,,,,,
8764,ARG,South America,Argentina,2020-02-08,45510324.0,,,,,,,,,,,,,,,,,,,,,
8765,ARG,South America,Argentina,2020-02-09,45510324.0,,,,,,,,,,,,,,,,,,,,,
